Year,Month,MonthIndex,Region,Segment,RevenueLag1,RevenueLag2,RevenueLag3,AvgDealSize,MonthlyTotalRevenue
2023,12,47,Central,Large,336955.5397,429430.7845,322033.0414,35148.226,667816.2938
2023,12,47,Central,Large,417392.8878,570452.9523,273700.3949,28954.7315,608049.3622
2023,12,47,West,Strategic,514937.026,276671.941,250577.551,26326.4714,447550.014
2023,12,47,East,Large,427691.0506,565428.5538,225891.7117,27865.6447,306522.0918
2023,12,47,Central,Small & Medium,249032.457,795219.4397,453374.5735,31188.1636,343069.7997
2023,12,47,Central,Small & Medium,460740.3768,350271.2129,411913.8369,32325.9367,484889.0512
2023,12,47,East,Small & Medium,562952.7926,227584.256,383338.3182,30245.6395,453684.5926
2023,12,47,Central,Strategic,526311.5916,320474.214,451672.0519,27167.0537,353171.6981
2023,12,47,Central,Large,415934.5476,457012.2688,347494.3046,28155.5338,506799.6085
2023,12,47,Central,Small & Medium,376897.3058,529367.0475,518501.4338,25408.5361,431945.114
2023,12,47,Central,Small & Medium,301072.046,577349.6307,425199.5551,31104.4505,528775.6588
2023,12,47,Central,Strategic,472289.6141,491938.4482,450612.5353,32279.1111,419628.4449
2023,12,47,Central,Large,416731.8473,594380.7061,529129.1323,26444.3125,608219.1879
2023,12,47,East,Small & Medium,567457.7224,314791.1677,505066.4984,27257.8752,190805.1263
2023,12,47,East,Large,521741.071,555297.1229,273386.4903,28497.3935,484455.6901
2023,12,47,Central,Strategic,585268.7548,358024.2852,556942.3957,33971.361,577513.1369
2023,12,47,East,Strategic,434068.2075,531250.973,258575.9668,27095.5694,379337.9709
2023,12,47,East,Small & Medium,310912.5675,307798.615,296561.1499,24760.8741,297130.4891
2023,12,47,East,Large,732708.4379,499689.9404,299794.8386,31133.9536,467009.3034
2023,12,47,Central,Strategic,720924.961,295922.4351,338651.2951,27294.5919,327535.1024
2023,12,47,East,Large,560596.7047,351491.151,394191.0874,27887.2137,446195.4187
2023,12,47,East,Small & Medium,458444.3269,602935.7573,539568.9154,25270.2688,353783.7638
2023,12,47,Central,Strategic,259938.6918,279436.6902,427455.4156,34443.7698,551100.3171
2023,12,47,West,Large,447861.6761,503084.7691,267588.9444,32731.1997,654623.9945
2023,12,47,East,Strategic,387353.38,569293.7096,400375.7216,32296.1976,419850.5683
2023,12,47,West,Strategic,494807.7228,292488.7537,381402.4988,31106.5057,435491.0802
2023,12,47,West,Small & Medium,473771.7099,322464.0753,293670.5743,28024.6515,308271.1661
2023,12,47,West,Large,350072.8641,301429.6529,488519.8539,36112.1666,722243.3326
2023,12,47,East,Small & Medium,221502.8287,396303.3489,590902.664,34857.81,662298.3904
2023,12,47,East,Large,295726.765,369666.0486,342906.5694,32016.1379,608306.6199
2023,12,47,Central,Large,535064.8091,490643.796,463644.2134,27692.0193,387688.2703
2023,12,47,East,Large,685657.5193,311800.6223,248873.5994,30151.374,542724.7317
2023,12,47,East,Strategic,535260.3294,539838.904,551560.001,33534.3692,469481.1684
2023,12,47,East,Strategic,474164.4923,241743.3431,325930.3984,24928.64,423786.8799
2023,12,47,East,Large,524220.7939,293416.5855,479622.7784,23860.3691,214743.3217
2023,12,47,Central,Small & Medium,597791.8652,312905.9627,333742.1556,27793.7573,500287.6314
2023,12,47,Central,Small & Medium,412209.412,582124.1889,479709.4705,33763.4755,438925.182
2023,12,47,East,Strategic,318243.1762,537501.3817,434924.0329,26799.8834,294798.7171
2023,12,47,East,Large,520824.7893,404412.6025,444152.2131,32365.2428,323652.4283
2023,12,47,East,Large,666112.5995,508715.9252,582223.8515,27965.2595,279652.5951
2023,12,47,East,Strategic,329578.7065,268850.6483,400636.1024,27024.272,459412.6244
2023,12,47,Central,Strategic,355421.7945,769630.8512,461629.2965,26789.1758,321470.1095
2023,12,47,Central,Large,391826.2182,645284.2425,347157.7099,29134.5162,582690.3237
2023,12,47,West,Large,373345.6784,512337.729,444569.6832,27700.6389,498611.5009
2023,12,47,Central,Large,693737.9955,293143.5693,530708.1224,36371.665,436459.9797
2023,12,47,East,Small & Medium,532350.8588,302704.2884,514402.7824,32163.7221,450292.1089
2023,12,47,West,Large,548383.6659,234233.1031,480306.3632,28183.6645,338203.9743
2023,12,47,West,Strategic,706645.9129,269560.1778,498414.7218,30419.2083,334611.2914
2023,12,47,Central,Strategic,314233.4574,664544.731,351776.9183,30597.8453,581359.0605
2023,12,47,Central,Strategic,626968.3713,650699.2255,182829.3527,30615.224,459228.3605
2023,12,47,Central,Strategic,405752.3568,635854.6254,319539.7629,34038.0827,374418.9093
2023,12,47,Central,Strategic,644080.2713,328054.7747,284537.3092,31831.2848,541131.8415
2023,12,47,Central,Strategic,360088.7981,289414.6393,281526.881,27685.5498,332226.5981
2023,12,47,East,Strategic,542759.2495,699127.8204,587760.5874,29965.9936,779115.8335
2023,12,47,Central,Small & Medium,504663.4696,385427.5904,466335.0415,27066.2082,405993.1226
2023,12,47,West,Strategic,396125.444,250705.407,576402.6108,26334.6075,368684.5053
2023,12,47,East,Small & Medium,231908.749,644201.3979,413819.9893,32101.8392,513629.4275
2023,12,47,Central,Small & Medium,697875.3517,331399.7112,487139.6133,20703.7299,269148.4884
2023,12,47,East,Strategic,427190.5984,964210.852,598680.2204,29840.1499,477442.3985
2023,12,47,West,Small & Medium,503599.7433,527179.9897,330401.9411,27063.3858,460077.5579
2023,12,47,Central,Strategic,597113.4095,360199.7715,374620.2877,26183.098,392746.4706
2023,12,47,East,Strategic,393076.3882,553351.0971,323981.2488,34129.8604,682597.2087
2023,12,47,East,Strategic,523170.4672,417988.3191,337331.1573,33924.6188,644567.7567
2023,12,47,Central,Large,659079.777,477967.2728,358069.8402,29247.2442,380214.1741
2023,12,47,East,Strategic,533761.753,479212.7061,455631.6617,28792.9649,489480.4028
2023,12,47,East,Small & Medium,573352.1148,444752.8617,449743.1564,31585.0172,505360.2746
2023,12,47,East,Strategic,484543.0794,354327.9002,618424.3226,27766.4402,527562.3642
2023,12,47,Central,Strategic,359612.0368,561622.8478,656219.6177,28555.4751,399776.651
2023,12,47,East,Strategic,325468.2342,502448.4851,299151.5282,29885.1412,687358.2466
2023,12,47,West,Large,405846.5853,271425.9265,473818.1212,31154.4308,591934.1843
2023,12,47,West,Large,442410.05,312525.274,559745.25,31529.0957,378349.1479
2023,12,47,East,Large,338327.8295,450143.6903,301311.5432,28857.4614,317432.0754
2023,12,47,East,Strategic,566373.031,507993.8144,496553.9364,29740.8956,446113.4347
2023,12,47,Central,Small & Medium,459235.3569,434537.9647,603859.734,33877.4824,406529.789
2023,12,47,West,Small & Medium,362584.3032,387026.6211,624239.3968,35465.8538,248260.9763
2023,12,47,Central,Small & Medium,497131.0338,700546.8843,552816.594,29442.7275,618297.2765
2023,12,47,Central,Strategic,430355.8458,331018.6,368151.2509,30299.4974,424192.9633
2023,12,47,East,Large,433453.0985,431135.8464,398663.5925,30689.0487,398957.6325
2023,12,47,West,Large,387138.5328,503931.8355,189630.4308,32458.9655,584261.3789
2023,12,47,West,Strategic,721946.9115,570712.4554,417848.5534,29859.1084,597182.1676
2023,12,47,West,Strategic,479673.6382,497833.2878,542037.1667,34349.9862,309149.8761
2023,12,47,West,Large,676428.4723,595825.9629,508636.1376,31024.7104,713568.3403
2023,12,47,West,Strategic,470978.9233,399588.7195,522598.7095,30261.5724,635493.0206
2023,12,47,East,Strategic,455477.6921,651689.6766,504912.5971,37093.039,296744.3116
2023,12,47,East,Strategic,671486.173,561443.0608,368625.5475,31669.5173,506712.2773
2023,12,47,East,Large,598087.9499,615433.5908,431137.6373,31508.4202,504134.7239
2023,12,47,East,Strategic,368949.2902,358514.9839,450360.0351,29712.1483,475394.372
2023,12,47,West,Large,408691.3863,420137.325,604734.771,33059.9245,231419.4717
2023,12,47,East,Strategic,368228.375,481214.5549,514926.6941,31744.6728,571404.11
2023,12,47,East,Strategic,463181.3685,330920.7797,595551.1284,27756.3245,444101.1918
2023,12,47,East,Strategic,613235.6675,312220.3712,470823.912,34154.2979,444005.8729
2023,12,47,East,Strategic,359192.7783,347572.6532,597190.3601,27878.1529,641197.5163
2023,12,47,East,Strategic,432742.2149,389685.385,542971.2769,30703.781,736890.7451
2023,12,47,West,Large,718906.1142,437947.3448,469720.1852,31050.0924,714152.1247
2023,12,47,East,Large,690838.5122,539278.9036,392307.4477,27377.5462,438040.7393
2023,12,47,East,Large,314519.0277,371642.2554,388268.3416,25353.324,304239.8875
2023,12,47,East,Strategic,455051.6985,488195.2837,508324.0576,31940.3135,574925.6421
2023,12,47,East,Large,217284.4594,447120.4684,386224.6875,29213.8209,525848.7768
2023,12,47,East,Large,361760.87,497368.7074,592497.2529,34217.8937,650139.98
2023,12,47,Central,Small & Medium,714132.2382,612398.7451,604310.9739,32708.0207,719576.4553
2023,12,47,West,Large,310300.8428,477999.6147,513575.7067,25754.0143,334802.1855
2023,12,47,Central,Large,457106.6102,393072.3242,424413.3458,28583.6794,457338.8703
2023,12,47,East,Strategic,521940.093,408414.9356,430000.7095,30127.2192,512162.7265
2023,12,47,West,Strategic,399151.0043,530296.0031,463511.0793,28327.1553,509888.7954
2023,12,47,Central,Strategic,456372.4934,324627.7943,553977.7583,29672.5718,712141.7242
2023,12,47,Central,Small & Medium,493333.6012,574617.0993,406433.8296,30798.402,338782.4217
2023,12,47,Central,Strategic,546968.9759,155840.9703,471398.6269,31553.3043,694172.6949
2023,12,47,West,Strategic,576447.6621,448762.855,296956.9291,27477.1443,439634.3088
2023,12,47,East,Strategic,558174.5451,411230.0067,483598.7981,34457.1331,792514.0616
2023,12,47,Central,Strategic,454696.8828,354988.1418,629891.761,31604.8048,442467.2665
2023,12,47,West,Large,355328.4468,631685.4244,570165.4351,29361.1182,616583.4817
2023,12,47,East,Strategic,287851.009,504391.8633,588426.796,31504.4632,283540.1684
2023,12,47,Central,Large,351084.9663,637901.7296,418888.3686,27693.8152,470794.8588
2023,12,47,West,Small & Medium,599176.5375,421284.5995,398660.8532,28864.3814,346372.5765
2023,12,47,Central,Small & Medium,438258.4034,415883.328,709513.0591,30737.585,491801.3595
2023,12,47,Central,Small & Medium,453454.401,191995.097,595823.0658,27800.4666,528208.8651
2023,12,47,East,Large,314465.7733,581465.5696,504192.7229,36647.0561,403117.6175
2023,12,47,East,Large,508436.1035,549618.7432,848903.0996,31575.8003,410485.4044
2023,12,47,East,Large,592864.009,578536.1163,293308.1444,27006.4116,621147.4671
2023,12,47,East,Strategic,438018.5468,474999.3561,400271.0744,32557.6263,716267.7781
2023,12,47,West,Large,348083.3155,432698.6068,386858.2702,28546.5022,542383.5419
2023,12,47,Central,Large,395063.8368,613258.4125,403674.5817,34806.0023,626508.0413
2023,12,47,East,Strategic,452800.3857,383345.4858,457540.2333,29935.9141,359230.9687
2023,12,47,West,Large,332646.6544,241385.3866,545543.7912,36937.709,443252.5074
2023,12,47,West,Strategic,300783.2541,274912.8979,607467.2148,32627.7295,619926.8602
2023,12,47,East,Strategic,474443.3048,501837.9503,500642.3616,28793.9891,374321.8579
2023,12,47,East,Strategic,620848.1225,527028.2562,462309.933,33217.1975,564692.3583
2023,12,47,Central,Strategic,433257.1243,253180.446,483907.0648,29029.5426,464472.6812
2023,12,47,East,Large,709074.6555,461631.503,506894.1153,32769.3313,524309.3015
2023,12,47,East,Large,442724.2513,452034.2744,284423.9446,27663.2854,553265.708
2023,12,47,East,Large,503861.6957,419578.0274,633806.6114,28678.6672,315465.3389
2023,12,47,East,Strategic,369639.5634,705981.1096,423493.333,25885.6448,621255.4758
2023,12,47,East,Strategic,392180.9598,220129.7171,315066.9312,27807.8471,389309.8588
2023,12,47,East,Large,370200.5587,440318.0695,406058.1162,33347.5303,500212.9545
2023,12,47,East,Strategic,404406.1101,532701.0877,489415.5701,30589.9195,520028.6314
2023,12,47,East,Small & Medium,823881.6667,495397.6239,462851.4645,30604.527,489672.4313
2023,12,47,West,Strategic,443576.7831,228344.8116,511806.9644,30565.7359,580748.9827
2023,12,47,West,Small & Medium,257609.9265,471177.2001,641866.8832,33677.9143,572524.5431
2023,12,47,East,Small & Medium,428191.2733,632582.4838,462230.0908,33671.7402,471404.363
2023,12,47,East,Strategic,519181.3925,426373.9123,487597.0705,30945.8465,649862.7764
2023,12,47,East,Small & Medium,387442.9478,529019.484,287206.572,28729.4043,373482.2557
2023,12,47,East,Small & Medium,393908.4893,375187.8213,486665.879,34267.7793,582552.2479
2023,12,47,East,Small & Medium,306016.8714,317998.2417,394608.4043,31644.8059,537961.7007
2023,12,47,East,Large,580958.2347,612683.2519,319608.6467,30997.9265,464968.8982
2023,12,47,Central,Small & Medium,523699.9383,458683.5221,816111.7872,26589.8703,319078.4433
2023,12,47,Central,Strategic,711831.6262,218556.7697,395477.9855,24127.776,193022.2077
2023,12,47,Central,Large,341183.7964,624800.3529,401277.23,27940.5785,335286.9422
2023,12,47,West,Large,625035.7386,640757.7652,479192.17,31449.0678,503185.0849
2023,12,47,Central,Strategic,589085.5194,375930.7321,550503.4831,36210.5695,398316.2644
2023,12,47,Central,Strategic,437366.006,552302.7243,351815.6899,24361.7792,511597.3638
2023,12,47,East,Large,431044.5632,299120.8237,443279.3164,30287.401,666322.8213
2023,12,47,Central,Small & Medium,300262.8894,410362.6733,618605.6625,23901.8435,286822.1224
2023,12,47,West,Large,542548.9995,480426.1528,452671.7502,26141.3134,418261.0141
2023,12,47,West,Large,444940.5484,524813.9,640735.9129,31870.5071,414316.5921
2023,12,47,East,Strategic,523079.373,534233.1105,306424.178,35150.8002,562412.8034
2023,12,47,East,Strategic,358673.8651,622003.9151,334131.0327,33235.0995,398821.1941
2023,12,47,East,Large,418612.6312,483317.1843,620564.8676,28936.4111,665537.4557
2023,12,47,West,Small & Medium,443413.5003,344993.9333,380296.7809,26901.0297,564921.6246
2023,12,47,Central,Small & Medium,393040.525,613121.2452,615438.3427,26764.2414,428227.8622
2023,12,47,West,Large,540393.8088,480870.0244,190203.6911,30578.7264,580995.8012
2023,12,47,West,Large,272150.2795,488622.5599,516717.2911,32508.5921,422611.6975
2023,12,47,West,Small & Medium,366693.3439,286880.0645,519757.3846,30464.4811,426502.7358
2023,12,47,Central,Small & Medium,734163.4969,304538.9361,425925.7003,28352.5297,425287.9459
2023,12,47,East,Small & Medium,500608.8819,255077.8118,567416.0853,28607.8627,543549.3917
2023,12,47,West,Strategic,533326.9664,468221.7349,382067.4185,28310.4306,537898.1813
2023,12,47,West,Small & Medium,253866.5119,464632.7474,496164.8704,27607.5377,496935.6794
2023,12,47,West,Small & Medium,474673.9542,676922.2486,380745.6866,26400.8503,264008.5031
2023,12,47,East,Large,557935.7066,659229.7798,579767.7054,33137.1474,497057.2111
2023,12,47,Central,Small & Medium,348548.0981,433888.6428,201742.0865,27055.7003,487002.6048
2023,12,47,West,Small & Medium,443541.0292,475294.943,477835.4281,34453.2736,826878.566
2023,12,47,East,Small & Medium,368472.4315,558865.0239,545809.1517,27702.6201,387836.6809
2023,12,47,West,Strategic,272085.9319,462491.7823,616474.3644,31679.5579,221756.9055
2023,12,47,East,Strategic,554970.3895,538713.2639,266561.3102,31481.2688,346293.9573
2023,12,47,Central,Large,501641.7905,634634.468,452406.0775,29791.033,744775.8242
2023,12,47,East,Large,429650.713,281913.3586,364093.4077,32350.0498,582300.8967
2023,12,47,West,Large,443103.7452,649759.4103,636209.882,31196.9738,561545.5277
2023,12,47,West,Strategic,388751.2684,544095.4223,362021.353,31248.0419,624960.8373
2023,12,47,East,Strategic,507792.4906,578926.9832,424508.3576,22832.6494,273991.7923
2023,12,47,East,Large,424768.2546,449985.6446,489636.3412,29894.1298,508200.2063
2023,12,47,Central,Strategic,684424.7067,450948.6664,481422.0417,28829.3421,490098.8164
2023,12,47,Central,Small & Medium,566335.0408,320909.9861,375768.1561,28766.1371,604088.8799
2023,12,47,Central,Strategic,420979.7083,403559.8311,485796.3051,29040.7261,406570.166
2023,12,47,West,Small & Medium,481542.7242,500771.9533,456574.1608,37164.7664,743295.3288
2023,12,47,East,Large,424962.2213,561218.9882,346424.5298,34023.2012,544371.219
2023,12,47,East,Strategic,317841.9438,527400.668,313978.4309,25867.3787,155204.2719
2023,12,47,Central,Strategic,947600.8141,429631.9904,561384.8744,32789.6512,459055.1162
2023,12,47,East,Large,346124.2192,375178.9626,398883.2689,38198.5223,534779.3119
2023,12,47,Central,Large,728477.7208,576085.7928,422791.0655,32319.2014,452468.82
2023,12,47,West,Large,501149.4279,442426.5876,548262.9387,33817.8226,507267.339
2023,12,47,West,Small & Medium,477761.315,348856.5521,391113.4004,33320.8127,366528.9393
2023,12,47,East,Strategic,459368.887,472426.7106,660217.0557,24452.9379,293435.2546
2023,12,47,Central,Strategic,549761.5185,653637.9456,482803.7194,25580.1161,460442.0905
2023,12,47,East,Strategic,469633.8477,210783.255,423945.674,25654.3248,436123.5215
2023,12,47,Central,Small & Medium,658904.7715,570600.6622,447893.2587,30000.0358,450000.5377
2023,12,47,West,Strategic,414866.7694,665609.8538,406938.6671,25248.5642,555468.4121
2023,12,47,Central,Small & Medium,404866.056,416955.059,431251.1129,31104.3567,715400.2047
2023,12,47,Central,Small & Medium,216554.6266,252407.3325,431454.4349,34471.6646,517074.9696
2023,12,47,West,Large,376623.4334,440419.1637,520191.1222,25722.7626,308673.151
2023,12,47,East,Small & Medium,559570.0245,276756.8037,270497.1242,27761.0746,499699.343
2023,12,47,Central,Large,395482.6903,629349.2678,437557.0996,34170.0517,888421.3437
2023,12,47,West,Strategic,348180.8465,301050.8392,614418.9756,30597.6673,764941.6816
2023,12,47,East,Strategic,420694.8324,408416.8638,412858.6182,28328.0599,509905.0783
2023,12,47,Central,Strategic,499120.9933,379429.8209,537940.6203,29588.0962,355057.154
2023,12,47,Central,Strategic,461091.8939,338990.2502,199054.8901,28798.7505,431981.2568
