Year,Quarter,Month (Sort Order),MonthIndex,MonthSin,MonthCos,isHolidayMonth,Account ID Text,Region,Segment,RevenueLag1,RevenueLag2,RevenueLag3,RevenueLag12,Rolling3MRevenue,AvgDealSize,AvgDealSizeRolling3M,TopProductId,OpportunityConcentrationHHI,IsActiveLast3M,MonthlyTotalRevenue
2020,1,1,0,0,1,1,"1","Central","Strategic",,,,,,36354.7927,,2,0.20612564893329491,0,181773.9636
2020,1,1,0,0,1,1,"10","East","Strategic",,,,,,31394.9485,,11,0.10431849956103947,0,345344.4335
2020,1,1,0,0,1,1,"100","Central","Strategic",,,,,38634.3833,36048.8728,38634.3833,4,0.078003693436974664,1,504684.2193
2020,1,1,0,0,1,1,"101","West","Large",,,,,,33166.7633,,17,0.10364809233342431,0,364834.3964
2020,1,1,0,0,1,1,"102","Central","Large",,,,,,35696.1947,,9,0.059517313264624158,0,678227.6987
2020,1,1,0,0,1,1,"103","West","Strategic",,,,,,27088.4615,,13,0.15884911648712463,0,189619.2307
2020,1,1,0,0,1,1,"104","East","Large",,,,,17407.4066,34687.1239,17407.4066,24,0.11441001645151279,1,346871.2391
2020,1,1,0,0,1,1,"105","East","Large",,,,,,28665.8569,,10,0.13423473457445007,0,257992.7121
2020,1,1,0,0,1,1,"106","East","Small & Medium",,,,,18135.9597,35298.6058,18135.9597,22,0.070183533856371327,1,564777.6923
2020,1,1,0,0,1,1,"107","West","Strategic",,,,,,33120.0462,,23,0.082145635168634518,0,463680.6474
2020,1,1,0,0,1,1,"108","Central","Strategic",,,,,,30221.1663,,3,0.059705596518137637,0,574202.1591
2020,1,1,0,0,1,1,"109","Central","Strategic",,,,,,30956.1583,,14,0.18693954713105634,0,185736.9499
2020,1,1,0,0,1,1,"11","East","Strategic",,,,,32216.5236,34396.5395,16108.2618,13,0.081466692117733275,1,481551.5532
2020,1,1,0,0,1,1,"110","West","Strategic",,,,,,32487.8047,,2,0.085268280387883991,0,422341.4614
2020,1,1,0,0,1,1,"111","West","Large",,,,,,32186.9197,,2,0.072541188364101686,0,482803.7962
2020,1,1,0,0,1,1,"112","East","Strategic",,,,,,34514.159,,10,0.09090260119758356,0,448684.0675
2020,1,1,0,0,1,1,"113","West","Strategic",,,,,,31010.5644,,18,0.075107400180266681,0,465158.4657
2020,1,1,0,0,1,1,"114","West","Strategic",,,,,37187.5321,33168.9963,37187.5321,25,0.077788670474223387,1,464365.9483
2020,1,1,0,0,1,1,"115","West","Large",,,,,,31512.1939,,3,0.10846696296486139,0,346634.1333
2020,1,1,0,0,1,1,"116","East","Large",,,,,,34292.1014,,8,0.0709439481325145,0,548673.6225
2020,1,1,0,0,1,1,"117","East","Strategic",,,,,,26072.1129,,9,0.087314010554151861,0,338937.4675
2020,1,1,0,0,1,1,"118","East","Small & Medium",,,,,43909.5459,30395.2488,43909.5459,11,0.053983796200665214,1,638300.2251
2020,1,1,0,0,1,1,"119","West","Small & Medium",,,,,49460.2414,33163.5834,24730.1207,12,0.084563639213596553,1,431126.5842
2020,1,1,0,0,1,1,"12","West","Strategic",,,,,11951.0658,35601.815,11951.0658,10,0.0817638194849869,1,498425.4105
2020,1,1,0,0,1,1,"120","West","Large",,,,,46005.3137,26771.941,23002.6569,21,0.081529365235128048,1,401579.1147
2020,1,1,0,0,1,1,"121","East","Small & Medium",,,,,41616.1157,28627.208,41616.1157,10,0.098392779633101474,1,343526.4959
2020,1,1,0,0,1,1,"122","East","Strategic",,,,,28496.5398,28408.1241,28496.5398,12,0.048414689832266766,1,681794.9772
2020,1,1,0,0,1,1,"123","East","Small & Medium",,,,,,30974.8474,,22,0.061317135923064973,0,588522.1013
2020,1,1,0,0,1,1,"124","West","Small & Medium",,,,,,28916.2414,,9,0.07944897148169415,0,433743.6203
2020,1,1,0,0,1,1,"125","Central","Large",,,,,,27980.7513,,15,0.093870687106400785,0,335769.0154
2020,1,1,0,0,1,1,"126","West","Large",,,,,,30556.8596,,14,0.072392452949576039,0,488909.7541
2020,1,1,0,0,1,1,"127","Central","Small & Medium",,,,,,30659.159,,6,0.087641477450188035,0,367909.9079
2020,1,1,0,0,1,1,"128","West","Strategic",,,,,21158.1874,37295.3484,21158.1874,6,0.12501286682297549,1,410248.8323
2020,1,1,0,0,1,1,"129","East","Small & Medium",,,,,,31508.0782,,24,0.15091090674007424,0,220556.5475
2020,1,1,0,0,1,1,"13","Central","Large",,,,,64945.0462,26756.5916,32472.5231,12,0.061943514290254631,1,535131.8318
2020,1,1,0,0,1,1,"130","East","Small & Medium",,,,,,29478.2349,,15,0.082345459472734167,0,412695.288
2020,1,1,0,0,1,1,"131","East","Small & Medium",,,,,,28260.7463,,10,0.054990285564460534,0,593475.6728
2020,1,1,0,0,1,1,"132","East","Small & Medium",,,,,,30959.3325,,23,0.083183205760024567,0,433430.6553
2020,1,1,0,0,1,1,"133","East","Small & Medium",,,,,38266.201,33257.2558,38266.201,23,0.069752506885122079,1,532116.0927
2020,1,1,0,0,1,1,"134","East","Small & Medium",,,,,37041.3806,28702.6083,37041.3806,25,0.082124495153568636,1,401836.5168
2020,1,1,0,0,1,1,"135","West","Small & Medium",,,,,,29485.6467,,20,0.0722646505005564,0,471770.347
2020,1,1,0,0,1,1,"136","East","Small & Medium",,,,,,24415.151,,22,0.059217210677608642,0,463887.8692
2020,1,1,0,0,1,1,"137","East","Small & Medium",,,,,12920.8368,34638.2661,12920.8368,22,0.068805155007405722,1,554212.2579
2020,1,1,0,0,1,1,"138","East","Small & Medium",,,,,,29787.0932,,3,0.058347764433323568,0,595741.864
2020,1,1,0,0,1,1,"139","East","Large",,,,,,36679.4111,,22,0.13338326459022137,0,330114.7002
2020,1,1,0,0,1,1,"14","East","Strategic",,,,,,34024.8444,,5,0.090798094465036436,0,442322.9771
2020,1,1,0,0,1,1,"140","East","Strategic",,,,,11877.0477,24420.4096,11877.0477,9,0.10829943576965516,1,293044.9156
2020,1,1,0,0,1,1,"141","East","Strategic",,,,,,26575.1914,,16,0.077155410875603916,0,425203.0625
2020,1,1,0,0,1,1,"142","East","Small & Medium",,,,,,34862.9575,,21,0.091560756437494756,0,418355.4894
2020,1,1,0,0,1,1,"143","East","Small & Medium",,,,,44316.0903,35762.1288,44316.0903,9,0.093353879349190344,1,464907.6749
2020,1,1,0,0,1,1,"144","East","Small & Medium",,,,,,22974.8654,,22,0.0656341226295627,0,390572.7112
2020,1,1,0,0,1,1,"145","East","Small & Medium",,,,,,24851.2742,,2,0.11785292124424258,0,248512.7418
2020,1,1,0,0,1,1,"146","East","Small & Medium",,,,,44687.8202,30189.7526,44687.8202,17,0.078348485038363461,1,452846.2885
2020,1,1,0,0,1,1,"147","East","Small & Medium",,,,,,37053.5961,,4,0.0689165615795009,0,592857.5379
2020,1,1,0,0,1,1,"148","East","Small & Medium",,,,,27407.2974,30909.675,27407.2974,12,0.15940267136088068,1,216367.7249
2020,1,1,0,0,1,1,"149","East","Small & Medium",,,,,48567.5347,36454.4093,48567.5347,17,0.13667891018881972,1,291635.2741
2020,1,1,0,0,1,1,"15","East","Small & Medium",,,,,,30657.013,,12,0.099060020539181518,0,367884.1565
2020,1,1,0,0,1,1,"150","East","Small & Medium",,,,,,34417.5524,,22,0.063241784254660247,0,585098.3903
2020,1,1,0,0,1,1,"151","Central","Small & Medium",,,,,,28164.2175,,11,0.083160075944709935,0,394299.0455
2020,1,1,0,0,1,1,"152","East","Small & Medium",,,,,,27758.8562,,9,0.10166796541275724,0,333106.2741
2020,1,1,0,0,1,1,"153","Central","Small & Medium",,,,,,24279.9491,,19,0.11739079431336244,0,242799.4912
